"001","016","","19960401","0"
"001","020","","19960401","0"
"001","022","","19960401","0"
"001","018","","19960401","0"
"001","024","","19960401","0"
"002","026","","19960401","0"
"002","030","","19960401","0"
"002","028","","19960401","0"
"003","050","","19960401","0"
"003","046","","19960401","0"
"003","048","","19960401","0"
"003","045","","19960401","0"
"003","044","","19960401","0"
"004","016","","19960401","0"
"004","014","","19960401","0"
"004","012","","19960401","0"
"005","036","","19960401","0"
"005","038","","19960401","0"
"005","042","","19960401","0"
"005","052","","19960401","0"
"005","040","","19960401","0"
"005","044","","19960401","0"
"006","024","","19960401","0"
"007","038","","19960401","0"
"007","052","","19960401","0"
"008","034","","19960401","0"
"008","032","","19960401","0"
"00C","16C","","20200401","0"
"00D","84H","","20200401","0"
"00F","13T","","20150401","0"
"00FAA","13TAA","","20150401","0"
"00FAC","13TAD","","20150401","0"
"00FAD","13TAE","","20150401","0"
"00FAE","13TAF","","20150401","0"
"00FAF","13TAG","","20150401","0"
"00FAG","13TAH","","20150401","0"
"00FAH","13TAJ","","20150401","0"
"00FAJ","13TAK","","20150401","0"
"00FAK","13TAL","","20150401","0"
"00FAL","13TAM","","20150401","0"
"00FAM","13TAN","","20150401","0"
"00FAN","13TAP","","20150401","0"
"00FAP","13TAQ","","20150401","0"
"00FAQ","13TAR","","20150401","0"
"00FAR","13TAT","","20150401","0"
"00FAT","13TAV","","20150401","0"
"00FAV","13TAW","","20150401","0"
"00FAW","13TAX","","20150401","0"
"00G","13T","","20150401","0"
"00GAA","13TAA","","20150401","0"
"00GAC","13TAC","","20150401","0"
"00GAD","13TAY","","20150401","0"
"00GAE","13TCA","","20150401","0"
"00GAF","13TCC","","20150401","0"
"00GAG","13TCD","","20150401","0"
"00GAH","13TCE","","20150401","0"
"00H","13T","","20150401","0"
"00HAA","13TAA","","20150401","0"
"00J","84H","","20200401","0"
"00K","16C","","20200401","0"
"00M","16C","","20200401","0"
"00W","14L","","20170401","0"
"01C","27D","","20200401","0"
"01CAC","27DAD","","20200401","0"
"01M","14L","","20170401","0"
"01N","14L","","20170401","0"
"01R","27D","","20200401","0"
"01RAC","27DAA","","20200401","0"
"02D","27D","","20200401","0"
"02DAA","27DAA","","20200401","0"
"02F","27D","","20200401","0"
"02FAA","27DAC","","20200401","0"
"02N","36J","","20200401","0"
"02NAC","36JAD","","20200401","0"
"02R","36J","","20200401","0"
"02RDF","36JAA","","20200401","0"
"02RDG","36JAC","","20200401","0"
"02V","15F","","20180401","0"
"02W","36J","","20200401","0"
"03A","X2C4Y","","20210401","0"
"03C","15F","","20180401","0"
"03D","42D","","20200401","0"
"03E","42D","","20200401","0"
"03G","15F","","20180401","0"
"03J","X2C4Y","","20210401","0"
"03M","42D","","20200401","0"
"03T","71E","","20200401","0"
"03V","78H","","20200401","0"
"03X","15M","","20190401","0"
"03Y","15M","","20190401","0"
"04D","71E","","20200401","0"
"04E","52R","","20200401","0"
"04EAA","52RAG","","20200401","0"
"04F","M1J4Y","","20210401","0"
"04G","78H","","20200401","0"
"04H","52R","","20200401","0"
"04HAD","52RAG","","20200401","0"
"04J","15M","","20190401","0"
"04K","52R","","20200401","0"
"04L","52R","","20200401","0"
"04LAA","52RAG","","20200401","0"
"04LAE","52RAE","","20200401","0"
"04M","52R","","20200401","0"
"04MAA","52RAG","","20200401","0"
"04MAE","52RAD","","20200401","0"
"04N","52R","","20200401","0"
"04NAA","52RAG","","20200401","0"
"04NAD","52RAF","","20200401","0"
"04Q","71E","","20200401","0"
"04R","15M","","20190401","0"
"04X","15E","","20180401","0"
"05A","B2M3M","","20210401","0"
"05C","D2P2L","","20210401","0"
"05F","18C","","20200401","0"
"05FAA","18CAE","","20200401","0"
"05H","B2M3M","","20210401","0"
"05J","18C","","20200401","0"
"05JAE","18CAD","","20200401","0"
"05L","D2P2L","","20210401","0"
"05N","M2L0M","","20210401","0"
"05P","15E","","20180401","0"
"05R","B2M3M","","20210401","0"
"05T","18C","","20200401","0"
"05TAC","18CAF","","20200401","0"
"05TAD","18CAG","","20200401","0"
"05TAH","18CAC","","20200401","0"
"05X","M2L0M","","20210401","0"
"05Y","D2P2L","","20210401","0"
"06A","D2P2L","","20210401","0"
"06D","18C","","20200401","0"
"06F","M1J4Y","","20210401","0"
"06M","26A","","20200401","0"
"06P","M1J4Y","","20210401","0"
"06V","26A","","20200401","0"
"06W","26A","","20200401","0"
"06Y","26A","","20200401","0"
"07J","26A","","20200401","0"
"07L","A3A8R","","20210401","0"
"07M","93C","","20200401","0"
"07N","72Q","","20200401","0"
"07P","W2U3Z","","20210401","0"
"07Q","72Q","","20200401","0"
"07R","93C","","20200401","0"
"07T","A3A8R","","20210401","0"
"07V","36L","","20200401","0"
"07W","W2U3Z","","20210401","0"
"07X","93C","","20200401","0"
"07Y","W2U3Z","","20210401","0"
"08A","72Q","","20200401","0"
"08C","W2U3Z","","20210401","0"
"08D","93C","","20200401","0"
"08E","W2U3Z","","20210401","0"
"08F","A3A8R","","20210401","0"
"08G","W2U3Z","","20210401","0"
